time;fAbs;fno;ev;az;ra;dec
0.00;0;27;22.4910351;297.6857068;67.1852776;+21.4299650
0.07;1;28;22.1689894;297.4789579;66.7904830;+21.3580968
0.13;2;29;21.8177700;297.3687643;66.3983217;+21.3786272
0.20;3;30;21.4525128;297.1852506;65.9676820;+21.3378866
0.27;4;31;21.1621602;296.9141084;65.5848317;+21.1935866
0.33;5;32;20.8790221;296.9056196;65.2945812;+21.2774729
0.40;6;33;20.4468326;296.5851459;64.7525734;+21.1313131
0.47;7;34;20.1304748;296.4343841;64.3829550;+21.0968358
0.53;8;35;19.7759379;296.2589190;63.9668283;+21.0507297
0.60;9;36;19.4461305;296.1087131;63.5839382;+21.0179398
0.67;10;37;19.1325337;295.9596341;63.2180433;+20.9797933
0.73;11;38;18.7402694;295.8191023;62.7745587;+20.9717083
0.80;12;39;18.4334084;295.7083248;62.4273462;+20.9633875
0.87;13;40;18.1191928;295.5890009;62.0700283;+20.9483984
0.93;14;41;17.7723223;295.4251709;61.6660386;+20.9012716
1.00;15;42;17.4493443;295.3149189;61.3025494;+20.8946045
1.07;16;43;17.2132626;295.1102214;61.0004515;+20.7754425
1.13;17;44;16.7950137;294.9272072;60.5184189;+20.7267086
1.20;18;45;16.4793206;294.7883813;60.1545490;+20.6878812
1.27;19;46;16.2353675;294.7643185;59.8972166;+20.7337980
1.33;20;47;15.8730992;294.5464448;59.4632069;+20.6327472
1.40;21;48;15.5842100;294.4646166;59.1432658;+20.6360187
1.47;22;49;15.2432656;294.3129590;58.7503076;+20.5876580
1.53;23;50;15.0273180;294.1606720;58.4860241;+20.5039872
1.60;24;51;14.6640081;294.0239212;58.0746271;+20.4730841
1.67;25;52;14.3714185;293.7514400;57.6995654;+20.2953643
1.73;26;53;14.0926882;293.7999705;57.4255599;+20.4132953
1.80;27;54;13.7462497;293.5325733;56.9972614;+20.2517683
1.87;28;55;13.4619815;293.4300667;56.6772312;+20.2278285
1.93;29;56;13.1773615;293.3360658;56.3591353;+20.2111737
2.00;30;57;12.8652027;293.2262691;56.0085844;+20.1856756
2.07;31;58;12.5480745;293.0823242;55.6442513;+20.1281328
2.13;32;59;12.2835449;292.9419895;55.3354009;+20.0600881
2.20;33;60;11.9801081;292.8311205;54.9940523;+20.0285900
2.27;34;61;11.7045432;292.6938812;54.6750481;+19.9644504
2.33;35;62;11.3564829;292.6512430;54.3047494;+20.0067379
2.40;36;63;11.2919868;292.5090519;54.2030196;+19.8865133
2.47;37;64;10.8831023;292.3442193;53.7400993;+19.8250447
2.53;38;65;10.5945846;292.1498617;53.3948924;+19.7060233
2.60;39;66;10.4169982;292.0995725;53.1992448;+19.6986388
2.67;40;67;10.1101980;291.9897070;52.8558286;+19.6632087
2.73;41;68;9.8466347;291.8920826;52.5601610;+19.6289708
2.80;42;69;9.5789642;291.7306785;52.2455196;+19.5336928
2.87;43;70;9.3274110;291.6537316;51.9674139;+19.5153563
2.93;44;71;9.0737750;291.5681024;51.6852191;+19.4885735
3.00;45;72;8.8197385;291.4386116;51.3927365;+19.4190064
3.07;46;73;8.5713626;291.3001543;51.1043534;+19.3389155
3.13;47;74;8.3002692;291.2306313;50.8081193;+19.3296676
3.20;48;75;8.0773838;291.1278160;50.5544685;+19.2774515
3.27;49;76;7.8998244;291.0194390;50.3466939;+19.2098851
3.33;50;77;7.5963685;290.9173159;50.0100973;+19.1742263
3.40;51;78;7.4256489;290.8638642;49.8216617;+19.1577138
3.47;52;79;7.2261251;290.7466083;49.5896908;+19.0849219
3.53;53;80;6.9209642;290.6272756;49.2480782;+19.0311567
3.60;54;81;6.7983009;290.5689767;49.1086352;+18.9992759
3.67;55;82;6.5708780;290.5840284;48.8761627;+19.0596636
3.73;56;83;6.4278821;290.2957497;48.6675760;+18.8075526
3.80;57;84;6.2391678;290.3335346;48.4800026;+18.8817847
3.87;58;85;6.0460041;290.1736698;48.2468379;+18.7640136
3.93;59;86;5.9246428;290.2206032;48.1307864;+18.8335691
4.00;60;87;5.9928553;289.8932666;48.1342473;+18.5009481
