time;fAbs;fno;ev;az;ra;dec
0.00;0;29;28.6477469;265.9918209;66.6523519;-7.3999790
0.07;1;30;28.3121172;266.0304046;66.3183399;-7.3361954
0.13;2;31;27.6733387;266.0510651;65.6786683;-7.2600757
0.20;3;32;27.2103406;266.0314933;65.2123085;-7.2348015
0.27;4;33;26.7580966;266.0255404;64.7579263;-7.1980925
0.33;5;34;26.3638370;266.0404154;64.3635669;-7.1478612
0.40;6;35;25.8589749;265.9580788;63.8499707;-7.1737368
0.47;7;36;25.4680343;265.9905107;63.4605764;-7.1073731
0.53;8;37;25.0326952;265.9661800;63.0217780;-7.0873790
0.60;9;38;24.5383454;265.9918963;62.5283088;-7.0160698
0.67;10;39;24.1118839;265.9661566;62.0983950;-6.9975215
0.73;11;40;23.6323956;265.9725359;61.6182971;-6.9441907
0.80;12;41;23.2207446;265.9680456;61.2052864;-6.9070990
0.87;13;42;22.7643519;265.9497838;60.7462088;-6.8777760
0.93;14;43;22.3232054;266.0264124;60.3115080;-6.7623675
1.00;15;44;21.9090613;265.9463712;59.8889794;-6.7935149
1.07;16;45;21.4982403;265.9954608;59.4822785;-6.7055754
1.13;17;46;21.0128714;265.9303936;58.9898567;-6.7151629
1.20;18;47;20.6074885;265.9515264;58.5860612;-6.6528442
1.27;19;48;20.2786923;265.9204986;58.2538002;-6.6469078
1.33;20;49;19.8481833;265.8960673;57.8203944;-6.6238406
1.40;21;50;19.4546018;265.9180303;57.4287210;-6.5610059
1.47;22;51;19.0046508;265.8729238;56.9738269;-6.5546723
1.53;23;52;18.6895020;265.9221853;56.6636298;-6.4739968
1.60;24;53;18.2555199;265.8676721;56.2237887;-6.4777972
1.67;25;54;17.7781423;265.8795284;55.7475661;-6.4138692
1.73;26;55;17.4428681;265.8729731;55.4115850;-6.3827815
1.80;27;56;17.0177501;265.8810949;54.9874028;-6.3274685
1.87;28;57;16.5818075;265.8643078;54.5497771;-6.2942700
1.93;29;58;16.1781093;265.8584551;54.1456307;-6.2540187
2.00;30;59;15.8261938;265.8612622;53.7942501;-6.2111381
2.07;31;60;15.5873198;265.8394596;53.5531316;-6.2045785
2.13;32;61;15.1266730;265.8759097;53.0969868;-6.1164933
2.20;33;62;14.7669590;265.8268078;52.7321183;-6.1218277
2.27;34;63;14.3572446;265.8548628;52.3260944;-6.0469952
2.33;35;64;14.0630741;265.8434480;52.0310260;-6.0234185
2.40;36;65;13.7179335;265.8246722;51.6842391;-6.0007833
2.47;37;66;13.4048700;265.8282954;51.3721036;-5.9601605
2.53;38;67;12.9268368;265.8149246;50.8933614;-5.9160673
2.60;39;68;12.6649947;265.8622823;50.6376087;-5.8387983
2.67;40;69;12.3365974;265.7861568;50.3008926;-5.8730151
2.73;41;70;12.0166919;265.8447123;49.9886519;-5.7774859
2.80;42;71;11.6609645;265.7472903;49.6220945;-5.8288946
2.87;43;72;11.3463255;265.8141112;49.3162480;-5.7254980
2.93;44;73;10.9953108;265.7701410;48.9608196;-5.7252455
3.00;45;74;10.7442511;265.8045481;48.7146201;-5.6607864
3.07;46;75;10.4258530;265.7872349;48.3950097;-5.6382892
3.13;47;76;10.0858246;265.7555845;48.0520900;-5.6269665
3.20;48;77;9.8250993;265.8250802;47.8007502;-5.5265281
3.27;49;78;9.4765866;265.7326523;47.4418883;-5.5732885
3.33;50;79;9.2092282;265.8171672;47.1859511;-5.4569431
3.40;51;80;8.9099848;265.7235446;46.8760148;-5.5108994
3.47;52;81;8.6006394;265.7840963;46.5753741;-5.4123595
3.53;53;82;8.3374905;265.7352805;46.3070226;-5.4267987
3.60;54;83;8.1934813;265.7413674;46.1643177;-5.4024765
3.67;55;84;7.9547630;265.7599455;45.9288683;-5.3537385
3.73;56;85;7.7315216;265.7490415;45.7051100;-5.3358487
3.80;57;86;7.4787791;265.7998440;45.4598911;-5.2534218
3.87;58;87;7.2494887;265.7144931;45.2205873;-5.3078081
3.93;59;88;7.2123386;265.8079532;45.1956140;-5.2110707
